                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1077,                 2.4317,                  1.249,                0.62199,                0.73332,                0.70143,                0.50455,                0.97139,                 1.1745,                 1.1961,               0.070652,              0.0032609,              0.0032609
                      1,                0.93423,                0.96963,                 1.0828,                0.78888,                0.77174,                0.79386,                0.60489,                 1.0111,                 1.4204,                  1.031,               0.040435,              0.0063766,              0.0063766
                      2,                0.90442,                0.96157,                 1.0649,                0.81641,                0.79348,                0.83816,                0.62018,                0.93562,                0.81952,                0.94642,               0.009997,              0.0092723,              0.0092723
                      3,                 0.9296,                0.92287,                 1.0559,                0.90978,                0.80435,                0.86593,                0.62388,                0.83588,                 1.1194,                 0.9426,                0.00901,                0.00901,                0.00901
                      4,                0.91193,                0.83232,                 1.0587,                0.75858,                   0.75,                 0.7499,                 0.5424,                0.94231,                 1.0517,                0.98224,                0.00901,                0.00901,                0.00901
                      5,                0.90378,                0.76302,                  1.041,                0.87689,                0.83696,                0.87316,                0.62985,                 1.0432,                0.79983,                0.98912,                0.00868,                0.00868,                0.00868
                      6,                0.89316,                0.72247,                 1.0355,                0.81603,                0.81522,                0.85238,                0.63122,                0.97479,                 0.7623,                0.98365,                0.00835,                0.00835,                0.00835
                      7,                0.89102,                0.71341,                 1.0395,                0.88056,                0.82609,                0.85408,                0.63874,                 1.0501,                 0.7686,                 1.0205,                0.00802,                0.00802,                0.00802
                      8,                0.87926,                0.72339,                  1.038,                0.83262,                0.76087,                 0.8521,                0.62607,                0.98795,                0.97995,                 1.0246,                0.00769,                0.00769,                0.00769
                      9,                0.84755,                0.67842,                  1.023,                0.88974,                0.78943,                0.86098,                0.66503,                0.93634,                   0.89,                0.98377,                0.00736,                0.00736,                0.00736
                     10,                0.87017,                 0.6982,                 1.0401,                0.82049,                0.84783,                0.86548,                 0.6471,                0.87243,                0.72268,                0.99161,                0.00703,                0.00703,                0.00703
                     11,                0.85093,                0.64374,                 1.0393,                 0.8823,                0.81481,                0.85619,                 0.6366,                 1.0023,                0.79186,                 1.0328,                 0.0067,                 0.0067,                 0.0067
                     12,                0.84565,                 0.6379,                 1.0164,                0.84377,                0.80435,                0.87053,                0.67003,                0.90732,                 0.7633,                0.98797,                0.00637,                0.00637,                0.00637
                     13,                0.80181,                0.58008,                 1.0108,                0.93899,                0.83645,                0.91482,                0.69954,                0.87718,                0.65544,                 1.0197,                0.00604,                0.00604,                0.00604
                     14,                0.78226,                0.57262,                0.99461,                  0.862,                0.88264,                0.89247,                0.67284,                0.99854,                0.74282,                 1.0252,                0.00571,                0.00571,                0.00571
                     15,                0.76365,                0.55054,                0.98987,                0.86851,                0.86158,                0.91061,                0.69812,                0.92514,                0.71699,                0.96289,                0.00538,                0.00538,                0.00538
                     16,                0.73459,                 0.5255,                0.97524,                0.88404,                0.86957,                0.91244,                0.71039,                0.91366,                 0.7292,                0.95066,                0.00505,                0.00505,                0.00505
                     17,                0.74533,                0.52707,                0.97533,                0.86873,                0.86321,                0.88446,                0.71366,                0.80552,                 0.6576,                0.92155,                0.00472,                0.00472,                0.00472
                     18,                 0.7288,                0.51372,                0.96409,                0.80403,                 0.8919,                0.91243,                0.70596,                0.83594,                0.68309,                0.92663,                0.00439,                0.00439,                0.00439
                     19,                0.71469,                0.50605,                0.97224,                0.87428,                0.84783,                 0.8948,                0.69362,                0.90338,                0.60196,                0.99588,                0.00406,                0.00406,                0.00406
                     20,                0.61722,                0.42048,                0.91305,                0.85755,                 0.8507,                 0.9094,                0.69465,                 0.8993,                0.59652,                  1.018,                0.00373,                0.00373,                0.00373
                     21,                0.62521,                0.41426,                0.92481,                 0.8187,                0.88353,                0.91745,                0.69604,                0.91796,                0.67497,                 1.0189,                 0.0034,                 0.0034,                 0.0034
                     22,                0.61913,                0.41165,                0.91317,                 0.8754,                0.79348,                0.90084,                0.72129,                 0.8878,                0.71397,                0.94383,                0.00307,                0.00307,                0.00307
                     23,                0.57905,                0.37518,                0.90038,                0.89606,                 0.8434,                0.92158,                0.73282,                0.85815,                0.67881,                0.93048,                0.00274,                0.00274,                0.00274
                     24,                 0.5752,                0.37729,                 0.8959,                  0.878,                0.83696,                0.89969,                0.70138,                0.94876,                0.64114,                 1.0074,                0.00241,                0.00241,                0.00241
                     25,                0.57013,                0.35924,                0.90069,                0.91297,                0.81522,                0.92498,                0.72683,                0.91558,                0.65926,                0.99888,                0.00208,                0.00208,                0.00208
                     26,                0.54703,                0.33792,                0.88851,                0.88446,                0.84783,                0.89536,                0.70844,                0.90992,                0.64055,                 1.0239,                0.00175,                0.00175,                0.00175
                     27,                0.52684,                0.33334,                0.88093,                0.87459,                 0.8587,                0.90099,                0.72093,                0.91666,                0.65426,                0.99713,                0.00142,                0.00142,                0.00142
                     28,                0.50542,                0.31567,                 0.8764,                0.87827,                0.86266,                0.91068,                0.72214,                0.93342,                0.63441,                  1.007,                0.00109,                0.00109,                0.00109
                     29,                0.52541,                 0.3093,                0.88827,                0.87634,                0.84735,                0.90534,                0.73671,                0.91067,                0.65869,                 1.0028,                0.00076,                0.00076,                0.00076
